,permno,namedt,nameenddt,shrcd,exchcd,siccd,ncusip,ticker,comnam,shrcls,permco,hexcd,cusip,st_date,end_date,namedum,s_date,e_date
285,10113,2010-07-21,2021-06-02,73,4,6726,00768Y20,AADR,ADVISORSHARES TRUST,,53202,3,00768Y20,2010-07-21,2023-12-29,2.0,2010-07-21,2023-12-29
286,10113,2021-06-03,2023-12-29,73,3,6726,00768Y20,AADR,ADVISORSHARES TRUST,,53202,3,00768Y20,2010-07-21,2023-12-29,2.0,2010-07-21,2023-12-29
399,10151,2010-07-09,2011-11-30,73,4,6726,00768Y40,GRV,ADVISORSHARES TRUST,,53202,4,00768Y40,2010-07-09,2015-08-07,2.0,2010-07-09,2015-08-07
400,10151,2011-12-01,2015-08-07,73,4,6726,00768Y40,AGLS,ADVISORSHARES TRUST,,53202,4,00768Y40,2010-07-09,2015-08-07,2.0,2010-07-09,2015-08-07
418,10158,2010-07-22,2011-06-16,11,1,8742,02361E10,AMRC,AMERESCO INC,A,53454,1,02361E10,2010-07-22,2023-12-29,2.0,2010-07-22,2023-12-29
419,10158,2011-06-17,2019-09-08,11,1,9611,02361E10,AMRC,AMERESCO INC,A,53454,1,02361E10,2010-07-22,2023-12-29,2.0,2010-07-22,2023-12-29
420,10158,2019-09-09,2022-11-08,11,1,8711,02361E10,AMRC,AMERESCO INC,A,53454,1,02361E10,2010-07-22,2023-12-29,2.0,2010-07-22,2023-12-29
421,10158,2022-11-09,2023-12-29,11,1,1731,02361E10,AMRC,AMERESCO INC,A,53454,1,02361E10,2010-07-22,2023-12-29,2.0,2010-07-22,2023-12-29
513,10201,2010-07-23,2021-03-28,12,1,4931,04878Q86,AT,ATLANTIC POWER CORP,,53455,1,04878Q86,2010-07-23,2021-05-14,2.0,2010-07-23,2021-05-14
514,10201,2021-03-29,2021-05-14,12,1,4911,04878Q86,AT,ATLANTIC POWER CORP,,53455,1,04878Q86,2010-07-23,2021-05-14,2.0,2010-07-23,2021-05-14
566,10220,2010-08-02,2011-06-16,11,1,3569,05615F10,BWC,BABCOCK & WILCOX CO NEW,,53456,1,05605H10,2010-08-02,2023-12-29,2.0,2010-08-02,2023-12-29
567,10220,2011-06-17,2015-06-30,11,1,1731,05615F10,BWC,BABCOCK & WILCOX CO NEW,,53456,1,05605H10,2010-08-02,2023-12-29,2.0,2010-08-02,2023-12-29
568,10220,2015-07-01,2023-12-29,11,1,3443,05605H10,BWXT,B W X TECHNOLOGIES INC,,53456,1,05605H10,2010-08-02,2023-12-29,2.0,2010-08-02,2023-12-29
574,10223,2010-07-21,2014-03-27,31,1,7371,13322V10,CIS,CAMELOT INFORMATION SYSTEMS INC,,53458,1,13322V10,2010-07-21,2014-03-27,2.0,2010-07-21,2014-03-27
2426,11003,2010-07-29,2011-06-13,71,1,1311,16524K10,CHKM,CHESAPEAKE MIDSTREAM PTNRS L P,,53459,1,96949L10,2010-07-29,2018-08-10,2.0,2010-07-29,2018-08-10
2427,11003,2011-06-14,2012-07-23,71,1,4922,16524K10,CHKM,CHESAPEAKE MIDSTREAM PTNRS L P,,53459,1,96949L10,2010-07-29,2018-08-10,2.0,2010-07-29,2018-08-10
2428,11003,2012-07-24,2015-02-02,71,1,4922,00434L10,ACMP,ACCESS MIDSTREAM PARTNERS L P,,53459,1,96949L10,2010-07-29,2018-08-10,2.0,2010-07-29,2018-08-10
2429,11003,2015-02-03,2018-08-10,71,1,4922,96949L10,WPZ,WILLIAMS PARTNERS LP NEW,,53459,1,96949L10,2010-07-29,2018-08-10,2.0,2010-07-29,2018-08-10
2575,11061,2010-07-14,2011-05-23,73,4,6726,25459W21,FCGS,DIREXION SHARES E T F TRUST,,53101,4,25459Y32,2010-07-14,2014-09-23,2.0,2010-07-14,2014-09-23
2576,11061,2011-05-24,2013-08-19,73,4,6726,25459W21,GASX,DIREXION SHARES E T F TRUST,,53101,4,25459Y32,2010-07-14,2014-09-23,2.0,2010-07-14,2014-09-23
2577,11061,2013-08-20,2014-09-23,73,4,6726,25459Y32,GASX,DIREXION SHARES E T F TRUST,,53101,4,25459Y32,2010-07-14,2014-09-23,2.0,2010-07-14,2014-09-23
2893,11182,2010-07-14,2011-05-23,73,4,6726,25459W22,FCGL,DIREXION SHARES E T F TRUST,,53101,4,25460E29,2010-07-14,2020-03-27,2.0,2010-07-14,2020-03-27
2894,11182,2011-05-24,2015-05-19,73,4,6726,25459W22,GASL,DIREXION SHARES E T F TRUST,,53101,4,25460E29,2010-07-14,2020-03-27,2.0,2010-07-14,2020-03-27
2895,11182,2015-05-20,2015-09-30,73,4,6726,25490K82,GASL,DIREXION SHARES E T F TRUST,,53101,4,25460E29,2010-07-14,2020-03-27,2.0,2010-07-14,2020-03-27
2896,11182,2015-10-01,2016-03-23,73,4,6726,25490K56,GASL,DIREXION SHARES E T F TRUST,,53101,4,25460E29,2010-07-14,2020-03-27,2.0,2010-07-14,2020-03-27
