,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
2,001000,P,01,LU,25881.0,23369.0,1970-11-13,1978-06-30
4,001001,P,01,LU,10015.0,6398.0,1983-09-20,1986-07-31
8,001002,C,01,LC,10023.0,22159.0,1972-12-14,1973-06-05
11,001003,C,01,LU,10031.0,6672.0,1983-12-07,1989-08-16
14,001004,P,01,LU,54594.0,20000.0,1972-04-24,
16,001005,C,01,LU,61903.0,11.0,1973-01-31,1983-01-31
20,001007,C,00X,LU,10058.0,20.0,1973-10-01,1979-01-30
21,001007,P,01,LU,10058.0,20.0,1979-01-31,1984-09-28
24,001008,P,01,LC,10066.0,6331.0,1983-08-25,1987-02-26
28,001009,C,01,LC,10074.0,5271.0,1982-01-18,1996-03-13
30,001010,C,00X,LU,10006.0,22156.0,1950-05-01,1962-01-30
31,001010,P,01,LU,10006.0,22156.0,1962-01-31,1984-06-28
34,001011,P,01,LC,10082.0,5793.0,1983-03-21,1995-09-28
37,001012,P,01,LU,10103.0,52.0,1978-01-31,1989-12-29
39,001013,P,01,LU,50906.0,2902.0,1979-03-16,2010-12-31
44,001015,P,01,LU,66405.0,5204.0,1982-01-29,1986-10-31
46,001016,C,00X,LC,10146.0,314.0,1973-11-01,1977-11-29
47,001016,P,01,LC,10146.0,314.0,1977-11-30,1988-04-26
50,001017,P,01,LC,10154.0,81.0,1972-12-14,1996-02-29
53,001018,C,00X,LU,10162.0,88.0,1973-07-01,1979-01-30
54,001018,C,01,LU,10162.0,88.0,1979-01-31,1981-03-04
58,001019,C,01,LC,10189.0,93.0,1972-12-14,1988-02-09
63,001020,P,02,LC,68806.0,100.0,1972-12-14,1988-04-05
66,001021,P,01,LU,10218.0,109.0,1980-10-14,1999-03-19
68,001022,C,00X,LU,10234.0,118.0,1973-07-01,1976-08-30
69,001022,P,01,LU,10234.0,118.0,1976-08-31,1983-07-28
72,001023,P,01,LU,66755.0,5542.0,1982-06-09,1988-10-05
74,001024,P,01,LU,10269.0,6202.0,1983-07-21,1984-09-28
76,001025,C,01,LU,47351.0,306.0,1973-01-31,1985-03-19
79,001026,P,01,LU,10277.0,134.0,1972-12-14,1978-05-31
81,001027,P,01,LU,28601.0,23555.0,1966-01-31,1971-05-28
83,001028,P,01,LU,10285.0,5148.0,1981-10-29,1992-01-31
85,001029,P,01,LU,10293.0,6069.0,1983-06-15,1985-10-31
87,001030,C,01,LU,10306.0,145.0,1973-01-31,1974-10-16
88,001031,C,00X,LU,10014.0,22157.0,1960-04-01,1966-01-30
89,001031,P,01,LU,10014.0,22157.0,1966-01-31,1977-03-31
95,001034,P,01,LC,65832.0,20007.0,1984-02-15,2008-12-29
100,001036,C,01,LC,65453.0,20008.0,1983-12-06,2001-05-31
104,001037,C,01,LU,10314.0,255.0,1980-10-07,1988-08-25
107,001038,P,01,LU,66413.0,6301.0,1983-08-18,2004-12-31
111,001039,P,01,LC,50526.0,25132.0,1970-04-29,1979-11-30
112,001040,C,00X,LU,15763.0,22631.0,1950-01-01,1962-01-30
