,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
744,001263,P,07,LC,22182.0,58827.0,2021-10-20,
3487,002270,P,03,LC,21257.0,58272.0,2021-05-03,
4340,002578,P,08,LC,20173.0,57580.0,2020-11-19,
6996,003580,P,01,LC,23744.0,59505.0,2023-04-04,
7315,003691,C,01,LC,29744.0,1308.0,2021-02-11,
8069,003946,P,02,LC,24090.0,20582.0,2023-08-14,
8470,004094,P,03,LC,19495.0,57135.0,2020-07-01,
9192,004367,P,05,LC,32791.0,1543.0,2021-06-02,
12518,005600,P,08,LC,16086.0,55584.0,2021-11-09,
16777,007183,C,01,LC,52231.0,3074.0,2021-03-23,
18014,007637,P,01,LC,20057.0,57529.0,2020-11-17,
19304,008092,P,03,LC,13743.0,54299.0,2020-06-12,
21481,008867,P,02,LC,87043.0,5722.0,2020-02-03,
26025,010504,P,01,LC,20391.0,57695.0,2021-01-09,
26972,010846,P,91,LC,28302.0,21802.0,2020-11-01,
29317,011703,P,01,LC,19624.0,57232.0,2020-08-14,
29829,011925,P,03,LC,21430.0,58352.0,2021-09-30,2022-09-29
29830,011925,P,03,LC,23344.0,7752.0,2022-09-30,
29886,011944,C,05,LC,86866.0,8037.0,2021-05-25,2021-05-31
29887,011944,P,05,LC,86866.0,8037.0,2021-06-01,2022-12-30
30993,012384,P,92,LC,90794.0,47003.0,2022-01-31,
31453,012545,P,01,LC,79903.0,30030.0,2021-12-01,
33113,013176,C,01,LC,11153.0,9009.0,2021-08-27,
33667,013381,P,01,LC,11379.0,9222.0,2021-09-08,
34885,013861,P,01,LC,13563.0,54170.0,2021-06-17,
35592,014112,C,01,LC,10066.0,6331.0,2021-03-29,
36141,014330,P,01,LC,20558.0,57881.0,2021-02-01,
36590,014501,P,01,LC,19483.0,57125.0,2020-06-19,
38350,015201,P,01,LC,23015.0,59263.0,2022-04-27,
38739,015362,C,90,LC,75466.0,22027.0,2022-01-01,2022-01-28
38945,015444,P,01,LC,24294.0,10241.0,2023-09-25,
39070,015489,P,01,LC,13755.0,54309.0,2020-09-18,2023-07-25
39458,015824,C,01,LC,78988.0,10238.0,2020-08-31,
40757,017001,P,01,LC,19893.0,57384.0,2020-10-08,
40796,017024,P,01,LC,22561.0,59083.0,2021-12-10,
41332,017396,P,01,LC,20566.0,57904.0,2021-02-17,
41423,017494,P,01,LC,21744.0,58582.0,2021-07-15,
41522,017602,P,01,LC,23854.0,59543.0,2023-04-26,
41582,017651,P,01,LC,20169.0,57577.0,2020-11-09,
41926,018017,C,01,LC,23636.0,59465.0,2023-01-23,
41931,018019,P,01,LC,23658.0,59468.0,2023-01-10,
42010,018086,P,02,LC,23497.0,59429.0,2022-10-27,2023-11-30
42545,018619,C,01,LC,21972.0,58751.0,2021-09-22,
42828,018874,P,01,LC,22771.0,59172.0,2022-02-28,
42841,018885,P,01,LC,20587.0,57925.0,2021-02-02,2023-12-19
42852,018892,P,01,LC,24247.0,59653.0,2023-09-18,
43167,019189,P,01,LC,14469.0,54745.0,2021-09-28,
43292,019354,C,01,LC,21783.0,58615.0,2021-07-07,
43518,019549,P,01,LC,19814.0,57335.0,2020-09-18,
43712,019767,P,01,LC,21920.0,58713.0,2021-09-14,
43778,019824,P,05,LC,24295.0,4756.0,2023-09-25,
43781,019824,C,90,LC,86341.0,4756.0,2023-09-01,2023-09-24
43819,019855,C,01,LC,22128.0,58796.0,2021-10-12,
44138,020074,P,01,LC,21866.0,58674.0,2021-08-11,
44472,020307,P,02,LC,20567.0,57905.0,2021-02-05,
44539,020342,P,02,LC,23671.0,59458.0,2023-01-26,
44986,020653,P,03,LC,19752.0,13960.0,2020-09-21,2023-11-30
45042,020684,P,01,LC,91305.0,50844.0,2022-01-31,
45387,020890,C,01,LC,21230.0,58263.0,2021-05-24,
45732,021155,P,01,LC,21517.0,58430.0,2021-06-10,2023-09-08
45883,021263,P,01,LC,19650.0,57252.0,2020-08-28,
45911,021295,P,01,LC,21844.0,58662.0,2021-08-31,
46017,021431,P,02,LC,20188.0,55089.0,2020-10-28,
46116,021521,P,01,LC,23179.0,59312.0,2022-06-03,
46119,021522,P,01,LC,17266.0,56233.0,2020-03-07,
46260,021663,C,01,LC,85377.0,15683.0,2021-11-26,
46613,021967,P,01,LC,19487.0,57129.0,2020-06-26,
47007,022318,P,01,LC,20623.0,57970.0,2021-02-09,
47009,022320,P,01,LC,19549.0,57114.0,2023-12-26,
47036,022358,P,01,LC,20575.0,57913.0,2021-02-24,
47044,022362,C,01,LC,23267.0,59357.0,2022-08-03,
47047,022367,P,02,LC,20736.0,58049.0,2021-04-30,2021-11-02
47076,022387,P,02,LC,17977.0,56465.0,2021-05-01,
47107,022410,P,01,LC,24016.0,59592.0,2023-06-12,
47294,022638,P,01,LC,19405.0,57093.0,2020-06-04,
47354,022703,P,01,LC,19629.0,57236.0,2020-08-28,
47529,022864,C,90,LC,15304.0,55237.0,2023-02-01,2023-02-27
47532,022864,P,01,LC,23737.0,55237.0,2023-03-01,
47641,023001,P,01,LC,21829.0,58645.0,2021-08-24,
47946,023237,P,01,LC,23227.0,59338.0,2022-07-22,
48067,023339,P,01,LC,15294.0,55230.0,2021-01-08,
48264,023552,P,01,LC,19252.0,57031.0,2020-02-07,2023-01-31
48281,023563,P,02,LC,21106.0,58223.0,2021-04-20,
48358,023607,P,01,LC,19232.0,57022.0,2020-02-13,
48374,023623,C,01,LC,76928.0,10836.0,2020-11-02,
48430,023672,P,02,LC,22567.0,58955.0,2021-12-30,
48590,023790,P,01,LC,84411.0,15276.0,2021-08-31,
48645,023813,P,01,LC,90907.0,47447.0,2021-02-25,
48842,023984,P,01,LC,22099.0,58791.0,2021-10-05,
48899,024028,P,01,LC,20306.0,57639.0,2020-12-17,2023-12-29
48909,024035,P,01,LC,23466.0,59422.0,2022-10-13,
48966,024083,P,01,LC,19506.0,57143.0,2020-07-29,
49012,024109,P,01,LC,19432.0,57100.0,2020-06-26,
49281,024310,P,01,LC,24172.0,59642.0,2023-09-28,
49545,024424,P,04,LC,19936.0,57221.0,2020-10-05,2022-08-31
49547,024426,P,90,LC,19615.0,57216.0,2020-08-27,
50371,024842,P,01,LC,77263.0,11283.0,2022-11-16,
50670,024966,P,01,LC,19832.0,57347.0,2020-09-25,
51267,025302,P,01,LC,77624.0,11537.0,2020-10-09,
51502,025447,P,01,LC,22797.0,59194.0,2022-02-10,
51523,025472,P,01,LC,20287.0,57620.0,2020-12-10,
51528,025476,P,01,LC,22280.0,58921.0,2021-11-30,
51624,025529,P,02,LC,20659.0,58009.0,2021-03-25,
51638,025538,C,01,LC,19846.0,57360.0,2020-09-25,
51645,025539,P,01,LC,15793.0,55466.0,2021-08-05,
51855,025645,P,01,LC,19413.0,57098.0,2020-06-26,
52686,026028,P,01,LC,22934.0,59238.0,2022-03-08,
52762,026061,P,01,LC,15850.0,55487.0,2020-07-01,
52779,026069,P,04,LC,21219.0,50323.0,2021-05-18,
53077,026270,P,01,LC,17108.0,56153.0,2022-10-03,
53103,026297,P,01,LC,20545.0,57865.0,2021-02-11,
53191,026364,P,01,LC,19188.0,57000.0,2020-01-23,2023-11-30
53193,026366,P,01,LC,24250.0,59654.0,2023-09-21,
53363,026579,P,01,LC,22185.0,58832.0,2021-10-13,
53397,026630,P,01,LC,22286.0,58925.0,2021-11-10,
53574,026832,P,01,LC,20639.0,57992.0,2021-02-17,
53584,026839,P,02,LC,21597.0,58502.0,2021-07-15,
53624,026891,P,01,LC,21831.0,58647.0,2021-08-26,
53664,026920,P,01,LC,19823.0,57342.0,2020-09-11,2022-09-06
53667,026922,P,01,LC,84321.0,15244.0,2021-04-27,
53801,027086,P,01,LC,21887.0,58690.0,2021-08-04,
53898,027186,P,03,LC,24023.0,59594.0,2023-07-19,
53946,027215,P,05,LC,23506.0,59433.0,2022-12-01,
53980,027251,P,01,LC,22239.0,58891.0,2021-10-19,
54292,027644,P,01,LC,20581.0,57918.0,2021-02-11,
54332,027677,P,04,LC,16402.0,55761.0,2021-01-21,2021-11-30
54371,027711,P,01,LC,22417.0,59013.0,2021-11-11,2023-08-10
54376,027712,P,02,LC,22513.0,58818.0,2021-12-13,2023-07-05
54377,027712,P,02,LC,24060.0,59598.0,2023-07-06,
54495,027786,P,21,LC,20583.0,11937.0,2021-02-10,
54661,027877,P,02,LC,20098.0,57308.0,2020-11-12,
55026,028069,P,02,LC,22080.0,58776.0,2021-10-19,
55067,028093,P,01,LC,23273.0,59363.0,2022-08-31,
55508,028322,P,01,LC,13439.0,54106.0,2022-07-21,
55605,028374,P,01,LC,79280.0,12178.0,2021-03-25,
55957,028551,P,01,LC,21863.0,58673.0,2021-08-03,
56193,028675,P,01,LC,79666.0,29969.0,2022-09-07,
56658,028903,P,03,LC,23469.0,59424.0,2022-10-13,
56972,029064,P,01,LC,12928.0,53854.0,2022-02-09,
57016,029082,P,10,LC,22360.0,29993.0,2021-11-02,
57128,029137,P,01,LC,22611.0,59107.0,2021-12-09,2023-01-31
57746,029478,P,01,LC,23889.0,59566.0,2023-05-25,
57829,029531,P,01,LC,22179.0,58824.0,2021-10-20,
59339,030369,P,01,LC,20071.0,57536.0,2020-11-17,
59489,030449,P,01,LC,20301.0,57636.0,2020-12-30,
60189,030870,P,01,LC,23063.0,59277.0,2022-05-17,
60348,030964,P,01,LC,88937.0,13422.0,2022-05-24,
60409,031006,P,01,LC,21830.0,58646.0,2021-08-27,
60537,031102,C,01,LC,20620.0,57967.0,2021-02-25,
60855,031347,P,02,LC,19527.0,57151.0,2020-07-31,
60884,031370,C,01,LC,20614.0,57960.0,2021-02-23,
61360,031653,P,01,LC,21938.0,58729.0,2021-09-29,
