Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10113,2012-10-22,-0.014905623,0.0278584238,0.02732634,21,100
Market-Adjusted Model,10151,2012-10-22,0.0039534468,0.0465740184,0.0461854099,21,100
Market-Adjusted Model,10158,2012-10-22,-0.083765133,-0.040388601,-0.04153317,21,100
Market-Adjusted Model,10201,2012-10-22,-0.160782628,-0.125294647,-0.118550665,21,100
Market-Adjusted Model,10220,2012-10-22,0.025390611,0.068876938,0.0676225741,21,100
Market-Adjusted Model,10223,2012-10-22,-0.228915663,-0.194878431,-0.186683699,21,100
Market-Adjusted Model,11003,2012-10-22,0.0141422764,0.0589057214,0.0563742395,21,100
Market-Adjusted Model,11061,2012-10-22,0.2184996377,0.2615919329,0.2607316008,21,100
Market-Adjusted Model,11182,2012-10-22,-0.218085155,-0.179229427,-0.175853191,21,100
Market-Adjusted Model,11264,2012-10-22,-0.096861773,-0.055400623,-0.05462981,21,100
Market-Adjusted Model,11361,2012-10-22,0.0607934186,0.1036656812,0.1030253817,21,100
Market-Adjusted Model,11363,2012-10-22,-0.061170216,-0.019015706,-0.018938253,21,100
Market-Adjusted Model,11370,2012-10-22,0.0809943266,0.1253709405,0.1232262897,21,100
Market-Adjusted Model,11407,2012-10-22,-0.061244731,-0.019979444,-0.019012768,21,100
Market-Adjusted Model,11505,2012-10-22,-0.024650116,0.0188668396,0.0175818476,21,100
Market-Adjusted Model,11648,2012-10-22,0.0176256218,0.0604768068,0.0598575849,21,100
Market-Adjusted Model,11664,2012-10-22,-0.134630386,-0.071860879,-0.092398423,21,100
Market-Adjusted Model,11814,2012-10-22,-0.034946861,0.0081923835,0.0072851023,21,100
Market-Adjusted Model,11969,2012-10-22,-0.020853009,0.0232216561,0.0213789537,21,100
Market-Adjusted Model,11972,2012-10-22,-0.054634858,-0.010608531,-0.012402895,21,100
Market-Adjusted Model,11979,2012-10-22,-0.00772751,0.0360641382,0.0345044532,21,100
Market-Adjusted Model,11980,2012-10-22,-0.015867076,0.0282826569,0.0263648875,21,100
Market-Adjusted Model,11984,2012-10-22,-0.024846977,0.0187756061,0.0173849863,21,100
Market-Adjusted Model,11986,2012-10-22,-0.007580095,0.035620657,0.0346518684,21,100
Market-Adjusted Model,11988,2012-10-22,-0.02219352,0.0212865847,0.0200384432,21,100
Market-Adjusted Model,11989,2012-10-22,-0.005523936,0.0376009991,0.0367080274,21,100
Market-Adjusted Model,11990,2012-10-22,-0.007693581,0.0379369752,0.0345383824,21,100
Market-Adjusted Model,11993,2012-10-22,0.3272727812,0.3463424162,0.3695047443,21,100
Market-Adjusted Model,11996,2012-10-22,0.002661027,0.0450330562,0.0448929901,21,100
Market-Adjusted Model,11999,2012-10-22,-0.175551456,-0.138032101,-0.133319493,21,100
Market-Adjusted Model,12007,2012-10-22,-0.277741204,-0.226280887,-0.235509241,21,100
