Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10001,10/22/2012,-0.001543275,0.040828001,0.040688688,21,100
Market-Adjusted Model,10002,10/22/2012,-0.070000013,-0.025974985,-0.02776805,21,100
Market-Adjusted Model,10025,10/22/2012,0.031687329,0.075197343,0.073919292,21,100
Market-Adjusted Model,10026,10/22/2012,-0.005059332,0.038216229,0.037172631,21,100
Market-Adjusted Model,10032,10/22/2012,-0.321310368,-0.295165217,-0.279078405,21,100
Market-Adjusted Model,10044,10/22/2012,-0.15551977,-0.124109487,-0.113287807,21,100
Market-Adjusted Model,10051,10/22/2012,-0.108850858,-0.070586479,-0.066618895,21,100
Market-Adjusted Model,10065,10/22/2012,-0.03490398,0.007537572,0.007327983,21,100
Market-Adjusted Model,10100,10/22/2012,-0.323977268,-0.154871241,-0.281745305,21,100
Market-Adjusted Model,10104,10/22/2012,-0.017189755,0.026498288,0.025042208,21,100
Market-Adjusted Model,10107,10/22/2012,-0.025795661,0.018260737,0.016436302,21,100
Market-Adjusted Model,10113,10/22/2012,-0.014905623,0.027858424,0.02732634,21,100
Market-Adjusted Model,10116,10/22/2012,-0.185393214,-0.143249128,-0.143161251,21,100
Market-Adjusted Model,10138,10/22/2012,0.002664962,0.046489255,0.044896926,21,100
Market-Adjusted Model,10145,10/22/2012,0.011232276,0.054600647,0.053464239,21,100
Market-Adjusted Model,10147,10/22/2012,-0.100769508,-0.060186261,-0.058537545,21,100
Market-Adjusted Model,10151,10/22/2012,0.003953447,0.046574018,0.04618541,21,100
Market-Adjusted Model,10158,10/22/2012,-0.083765133,-0.040388601,-0.04153317,21,100
Market-Adjusted Model,10180,10/22/2012,-0.047548316,-0.001319604,-0.005316353,21,100
Market-Adjusted Model,10182,10/22/2012,0.030549956,0.074855549,0.072781919,21,100
Market-Adjusted Model,10200,10/22/2012,-0.15878379,-0.124492778,-0.116551827,21,100
Market-Adjusted Model,10201,10/22/2012,-0.160782628,-0.125294647,-0.118550665,21,100
Market-Adjusted Model,10207,10/22/2012,-0.01940833,0.023576746,0.022823633,21,100
Market-Adjusted Model,10220,10/22/2012,0.025390611,0.068876938,0.067622574,21,100
Market-Adjusted Model,10223,10/22/2012,-0.228915663,-0.194878431,-0.186683699,21,100
Market-Adjusted Model,10225,10/22/2012,-0.053302475,-0.010510676,-0.011070512,21,100
Market-Adjusted Model,10232,10/22/2012,0.085232866,0.132187775,0.127464829,21,100
Market-Adjusted Model,10239,10/22/2012,-0.065567016,-0.021999711,-0.023335053,21,100
Market-Adjusted Model,10252,10/22/2012,-0.081672053,-0.040736885,-0.03944009,21,100
Market-Adjusted Model,10253,10/22/2012,-0.301546402,-0.300143919,-0.259314438,21,100
Market-Adjusted Model,10257,10/22/2012,-0.036697325,0.01023642,0.005534638,21,100
Market-Adjusted Model,10258,10/22/2012,-0.120743062,-0.077757151,-0.078511099,21,100
Market-Adjusted Model,10259,10/22/2012,-0.066450541,-0.02195342,-0.024218578,21,100
Market-Adjusted Model,10294,10/22/2012,0.111351358,0.153882469,0.153583321,21,100
Market-Adjusted Model,10297,10/22/2012,-0.007127526,0.036813366,0.035104437,21,100
Market-Adjusted Model,10299,10/22/2012,-0.027384889,0.017506856,0.014847074,21,100
Market-Adjusted Model,10302,10/22/2012,-0.079887255,-0.027319326,-0.037655292,21,100
Market-Adjusted Model,10308,10/22/2012,-0.047770709,-0.004851468,-0.005538746,21,100
Market-Adjusted Model,10318,10/22/2012,-0.130434833,-0.090919883,-0.08820287,21,100
Market-Adjusted Model,10333,10/22/2012,-0.267955752,-0.258869999,-0.225723789,21,100
Market-Adjusted Model,10355,10/22/2012,-0.032506856,0.027064678,0.009725107,21,100
Market-Adjusted Model,10363,10/22/2012,-0.173087384,-0.141313327,-0.130855421,21,100
Market-Adjusted Model,10375,10/22/2012,-0.063439009,-0.020162101,-0.021207046,21,100
Market-Adjusted Model,10382,10/22/2012,-0.101467315,-0.059570961,-0.059235352,21,100
Market-Adjusted Model,10395,10/22/2012,0.025630899,0.068604974,0.067862862,21,100
Market-Adjusted Model,10397,10/22/2012,0.055253592,0.098079098,0.097485556,21,100
Market-Adjusted Model,10421,10/22/2012,0.016319161,0.065297769,0.058551124,21,100
Market-Adjusted Model,10443,10/22/2012,-0.163172607,-0.121535351,-0.120940644,21,100
Market-Adjusted Model,10463,10/22/2012,-0.180327884,-0.145852657,-0.138095921,21,100
Market-Adjusted Model,10501,10/22/2012,0.1026242,0.144995936,0.144856163,21,100
Market-Adjusted Model,10507,10/22/2012,-0.198275877,-0.171516655,-0.156043914,21,100
Market-Adjusted Model,10514,10/22/2012,-0.093333307,-0.048892611,-0.051101344,21,100
Market-Adjusted Model,10516,10/22/2012,-0.078340984,-0.03768017,-0.036109021,21,100
Market-Adjusted Model,10517,10/22/2012,0.083393478,0.133323064,0.125625441,21,100
Market-Adjusted Model,10530,10/22/2012,-0.014300339,0.031162247,0.027931624,21,100
Market-Adjusted Model,10547,10/22/2012,-0.126654079,-0.089913255,-0.084422116,21,100
Market-Adjusted Model,10550,10/22/2012,0.158670162,0.207171113,0.200902125,21,100
Market-Adjusted Model,10606,10/22/2012,0.04060789,0.086491742,0.082839853,21,100
Market-Adjusted Model,10629,10/22/2012,-0.076248896,-0.034431745,-0.034016933,21,100
Market-Adjusted Model,10644,10/22/2012,-0.058823543,-0.009584075,-0.016591579,21,100
Market-Adjusted Model,10645,10/22/2012,0.057529643,0.103434863,0.099761606,21,100
Market-Adjusted Model,10649,10/22/2012,-0.054470683,-0.0107569,-0.01223872,21,100
Market-Adjusted Model,10656,10/22/2012,0.063829831,0.107245002,0.106061794,21,100
Market-Adjusted Model,10659,10/22/2012,-0.113082035,-0.073768239,-0.070850071,21,100
Market-Adjusted Model,10661,10/22/2012,0.039849461,0.083805652,0.082081424,21,100
Market-Adjusted Model,10667,10/22/2012,-0.142076482,-0.106929964,-0.099844519,21,100
Market-Adjusted Model,10693,10/22/2012,-0.050825375,-0.006893251,-0.008593412,21,100
Market-Adjusted Model,10696,10/22/2012,0.002829796,0.045828753,0.045061759,21,100
Market-Adjusted Model,10769,10/22/2012,-0.053510712,-0.011683601,-0.011278749,21,100
Market-Adjusted Model,10772,10/22/2012,0.042328065,0.090505618,0.084560028,21,100
Market-Adjusted Model,10777,10/22/2012,0.025593159,0.068727008,0.067825122,21,100
Market-Adjusted Model,10779,10/22/2012,-0.159340699,-0.124853068,-0.117108736,21,100
